Id_Survey;Id_Survey_Pos;Id_Station;Operation;Operation_Code;DateFull_mn;TimeStamp_mn;Latitude;Longitude;Bottom_Depth;Dist_Shore;Fishing_Depth_Upper;Fishing_Depth_Lower;Species;Code_Species;Compartment;Reg;Pres_Abs;Nb_Individual;Nb_Colonies;Biovolume;TL;FL;SL;ML;CL;DL;TW;TWest;EW;GonW;StomachW;Fullness;Collection;AphiaID_Worms;Scientific_Name_Worms;Authority_Worms;Kingdom;Phylum;Class;Order;Family;Genus;rank
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;1;1;NaN;NaN;NaN;NaN;NaN;NaN;3.3;NaN;NaN;4;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;2;1;NaN;NaN;NaN;NaN;NaN;NaN;3.1;NaN;NaN;2.8;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;3;1;NaN;NaN;NaN;NaN;NaN;NaN;3.2;NaN;NaN;3.1;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;4;1;NaN;NaN;NaN;NaN;NaN;NaN;3.2;NaN;NaN;2.1;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;5;1;NaN;NaN;NaN;NaN;NaN;NaN;3.4;NaN;NaN;4.4;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;6;1;NaN;NaN;NaN;NaN;NaN;NaN;2.8;NaN;NaN;3;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;7;1;NaN;NaN;NaN;NaN;NaN;NaN;3.6;NaN;NaN;3.6;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;8;1;NaN;NaN;NaN;NaN;NaN;NaN;3.2;NaN;NaN;3.2;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;9;1;NaN;NaN;NaN;NaN;NaN;NaN;3.2;NaN;NaN;3.6;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
Abracos_1;A1_1659;A1_01;MICRO;A1_MICRO_01;30/09/2015 22:47;1443646020;-3.770046;-32.409702;646.35;369419.60;110;110;Abralia veranyi;Abra.vera;MOLL;10;1;NaN;NaN;NaN;NaN;NaN;NaN;3.4;NaN;NaN;4;NaN;NaN;NaN;NaN;NaN;NaN;139688;Abralia veranyi;(Rüppell, 1844);Animalia;Mollusca;Cephalopoda;Oegopsida;Enoploteuthidae;Abralia;Species
